0.000000000000000000e+00,1.502483364092422127e-02
3.333333333333333287e-02,1.621482680076045610e-02
6.666666666666666574e-02,3.155372120379794365e-02
1.000000000000000056e-01,6.032505838606463944e-02
1.333333333333333315e-01,1.024010458585889460e-01
1.666666666666666574e-01,1.575640796104527119e-01
2.000000000000000111e-01,2.210966929249336133e-01
2.333333333333333370e-01,2.859047151269283327e-01
2.666666666666666630e-01,3.480081519805972023e-01
2.999999999999999889e-01,4.061760590165793272e-01
3.333333333333333148e-01,4.602633821377173362e-01
3.666666666666666408e-01,5.104731986728611171e-01
4.000000000000000222e-01,5.569431018545225598e-01
4.333333333333333481e-01,5.995691686015208743e-01
4.666666666666666741e-01,6.381267527672304096e-01
5.000000000000000000e-01,6.724990476259120609e-01
5.333333333333333259e-01,7.027352596575771049e-01
5.666666666666666519e-01,7.291317851304337516e-01
5.999999999999999778e-01,7.522531022757870112e-01
6.333333333333333037e-01,7.728563901377663026e-01
6.666666666666666297e-01,7.917042884607424780e-01
6.999999999999999556e-01,8.093789979453744898e-01
7.333333333333332815e-01,8.261624263101809973e-01
7.666666666666666075e-01,8.420500808132961312e-01
8.000000000000000444e-01,8.570432696628254021e-01
8.333333333333333703e-01,8.711338243165648310e-01
8.666666666666666963e-01,8.842145228061715212e-01
9.000000000000000222e-01,8.961921319598078473e-01
9.333333333333333481e-01,9.069729904599187487e-01
9.666666666666666741e-01,9.165030152326413271e-01
1.000000000000000000e+00,9.248126410995544111e-01
1.033333333333333215e+00,9.320742164548329045e-01
1.066666666666666652e+00,9.385167818172617249e-01
1.100000000000000089e+00,9.442761202623404237e-01
1.133333333333333304e+00,9.493900531151650002e-01
1.166666666666666741e+00,9.539496448540928375e-01
1.199999999999999956e+00,9.581758665121570262e-01
1.233333333333333393e+00,9.622271529726108552e-01
1.266666666666666607e+00,9.660846954115970275e-01
1.300000000000000044e+00,9.697230324997937467e-01
1.333333333333333259e+00,9.731730484882338272e-01
1.366666666666666696e+00,9.764090308321289324e-01
1.399999999999999911e+00,9.793638756193223660e-01
1.433333333333333348e+00,9.820334657571885284e-01
1.466666666666666563e+00,9.844290209609868336e-01
1.500000000000000000e+00,9.865289503547864935e-01
1.533333333333333215e+00,9.883536940683770311e-01
1.566666666666666652e+00,9.899540932085697520e-01
1.600000000000000089e+00,9.913840945465730581e-01
1.633333333333333304e+00,9.926759907538639238e-01
1.666666666666666741e+00,9.938714033298512440e-01
1.699999999999999956e+00,9.950220822146361721e-01
1.733333333333333393e+00,9.961216023088048654e-01
1.766666666666666607e+00,9.971500592924944506e-01
1.800000000000000044e+00,9.980891503692297384e-01
1.833333333333333259e+00,9.989474526453320236e-01
1.866666666666666696e+00,9.997358205181394730e-01
1.899999999999999911e+00,1.000456749353280994e+00
1.933333333333333348e+00,1.001115353762098481e+00
1.966666666666666563e+00,1.001703780827746026e+00
2.000000000000000000e+00,1.002219272299082142e+00
2.033333333333333215e+00,1.002679635186343621e+00
2.066666666666666430e+00,1.003089291891968715e+00
2.100000000000000089e+00,1.003430513400839219e+00
2.133333333333333304e+00,1.003697960038053782e+00
2.166666666666666519e+00,1.003937926647116896e+00
2.200000000000000178e+00,1.004184078051943541e+00
2.233333333333333393e+00,1.004439863881754880e+00
2.266666666666666607e+00,1.004698920608261048e+00
2.299999999999999822e+00,1.004949814688559595e+00
2.333333333333333481e+00,1.005184865015188667e+00
2.366666666666666696e+00,1.005400087491577610e+00
2.399999999999999911e+00,1.005588874368304575e+00
2.433333333333333126e+00,1.005742964897509584e+00
2.466666666666666785e+00,1.005860210572851132e+00
2.500000000000000000e+00,1.005960918262786441e+00
2.533333333333333215e+00,1.006045055551933132e+00
2.566666666666666430e+00,1.006103130812370017e+00
2.600000000000000089e+00,1.006169880192796962e+00
2.633333333333333304e+00,1.006257189713744005e+00
2.666666666666666519e+00,1.006343345271402789e+00
2.700000000000000178e+00,1.006426087287943361e+00
2.733333333333333393e+00,1.006505335648684385e+00
2.766666666666666607e+00,1.006572565345260850e+00
2.799999999999999822e+00,1.006626145219696511e+00
2.833333333333333481e+00,1.006661319350829142e+00
2.866666666666666696e+00,1.006687017135950324e+00
2.899999999999999911e+00,1.006691946334296039e+00
2.933333333333333126e+00,1.006676843246388842e+00
2.966666666666666785e+00,1.006681015730357176e+00
3.000000000000000000e+00,1.006705281266804031e+00
3.033333333333333215e+00,1.006736074729752239e+00
3.066666666666666430e+00,1.006766575859959101e+00
3.100000000000000089e+00,1.006799580085846690e+00
3.133333333333333304e+00,1.006831040810493016e+00
3.166666666666666519e+00,1.006847702100766018e+00
3.200000000000000178e+00,1.006857630035906670e+00
3.233333333333333393e+00,1.006868208481208171e+00
3.266666666666666607e+00,1.006884308514098381e+00
3.299999999999999822e+00,1.006902376944353028e+00
3.333333333333333481e+00,1.006916005043332785e+00
3.366666666666666696e+00,1.006931315043934072e+00
3.399999999999999911e+00,1.006947990889579758e+00
3.433333333333333126e+00,1.006963427447204573e+00
3.466666666666666785e+00,1.006974509395671014e+00
3.500000000000000000e+00,1.006982045150654592e+00
3.533333333333333215e+00,1.006993541708947282e+00
3.566666666666666430e+00,1.007007081233707968e+00
3.600000000000000089e+00,1.007006796189776843e+00
3.633333333333333304e+00,1.006978598932772195e+00
3.666666666666666519e+00,1.006938448603149849e+00
3.699999999999999734e+00,1.006915285348805700e+00
3.733333333333333393e+00,1.006902631533827863e+00
3.766666666666666607e+00,1.006891184385461546e+00
3.799999999999999822e+00,1.006877742240920970e+00
3.833333333333333481e+00,1.006847636433767290e+00
3.866666666666666696e+00,1.006798556104856246e+00
3.899999999999999911e+00,1.006755862388956535e+00
3.933333333333333126e+00,1.006726048132356333e+00
3.966666666666666785e+00,1.006709999523901500e+00
4.000000000000000000e+00,1.006718461420981425e+00
4.033333333333333215e+00,1.006739561259302640e+00
4.066666666666666430e+00,1.006761140749771410e+00
4.099999999999999645e+00,1.006760782160388112e+00
4.133333333333332860e+00,1.006727753974128170e+00
4.166666666666666963e+00,1.006687841420113916e+00
4.200000000000000178e+00,1.006655928299573510e+00
4.233333333333333393e+00,1.006639691335986075e+00
4.266666666666666607e+00,1.006641567543332227e+00
4.299999999999999822e+00,1.006650995608713295e+00
4.333333333333333037e+00,1.006666421861941885e+00
4.366666666666666252e+00,1.006682144047101879e+00
4.400000000000000355e+00,1.006693445665895359e+00
4.433333333333333570e+00,1.006693518098930040e+00
4.466666666666666785e+00,1.006686622838225409e+00
4.500000000000000000e+00,1.006672879112454178e+00
4.533333333333333215e+00,1.006652191086936377e+00
4.566666666666666430e+00,1.006621465723142261e+00
4.599999999999999645e+00,1.006573203052761434e+00
4.633333333333332860e+00,1.006523439962197175e+00
4.666666666666666963e+00,1.006485293530094527e+00
4.700000000000000178e+00,1.006475838521280197e+00
4.733333333333333393e+00,1.006493862060564792e+00
4.766666666666666607e+00,1.006522113301994814e+00
4.799999999999999822e+00,1.006546088136966333e+00
4.833333333333333037e+00,1.006557710925100046e+00
4.866666666666666252e+00,1.006572066945293997e+00
4.900000000000000355e+00,1.006590430953977267e+00
4.933333333333333570e+00,1.006610126686089846e+00
4.966666666666666785e+00,1.006630035018329483e+00
5.000000000000000000e+00,1.006637209896116492e+00
5.033333333333333215e+00,1.006628697750794332e+00
5.066666666666666430e+00,1.006621012978286656e+00
5.099999999999999645e+00,1.006612864311684730e+00
5.133333333333332860e+00,1.006586735453830928e+00
5.166666666666666963e+00,1.006527639311702416e+00
5.200000000000000178e+00,1.006460933036850580e+00
5.233333333333333393e+00,1.006424518434843041e+00
5.266666666666666607e+00,1.006417053820942265e+00
5.299999999999999822e+00,1.006419653559989413e+00
5.333333333333333037e+00,1.006430704946069010e+00
5.366666666666666252e+00,1.006440904250480717e+00
5.400000000000000355e+00,1.006432322805642210e+00
5.433333333333333570e+00,1.006409842896770268e+00
5.466666666666666785e+00,1.006399815206294734e+00
5.500000000000000000e+00,1.006402637381635934e+00
5.533333333333333215e+00,1.006405151443928725e+00
5.566666666666666430e+00,1.006406263082830543e+00
5.599999999999999645e+00,1.006403031507331569e+00
5.633333333333332860e+00,1.006392189408104043e+00
5.666666666666666963e+00,1.006388982969022461e+00
5.700000000000000178e+00,1.006396891686149431e+00
5.733333333333333393e+00,1.006408910803336054e+00
5.766666666666666607e+00,1.006418396462868570e+00
5.799999999999999822e+00,1.006418742401038902e+00
5.833333333333333037e+00,1.006409215474190599e+00
